mode: set
goldbox-rpg/pkg/game/character.go:72.40,99.38 4 0
goldbox-rpg/pkg/game/effectmanager.go:349.47,352.10 2 0
goldbox-rpg/pkg/game/effectmanager.go:353.12,354.65 1 0
goldbox-rpg/pkg/game/effectmanager.go:360.2,367.12 5 0
goldbox-rpg/pkg/game/effects.go:293.56,304.2 3 0
goldbox-rpg/pkg/game/effects.go:332.85,361.2 1 0
goldbox-rpg/pkg/game/effects.go:381.119,394.2 4 0
goldbox-rpg/pkg/game/effects.go:412.56,413.29 1 0
goldbox-rpg/pkg/game/effects.go:413.29,415.3 1 0
goldbox-rpg/pkg/game/effects.go:416.2,416.27 1 0
goldbox-rpg/pkg/game/effects.go:416.27,419.3 1 0
goldbox-rpg/pkg/game/effects.go:420.2,420.14 1 0
goldbox-rpg/pkg/game/effects.go:439.57,440.30 1 0
goldbox-rpg/pkg/game/effects.go:440.30,442.3 1 0
goldbox-rpg/pkg/game/effects.go:443.2,444.48 2 0
goldbox-rpg/pkg/game/effects.go:468.45,470.2 1 0
goldbox-rpg/pkg/game/effects.go:481.52,483.2 1 0
goldbox-rpg/pkg/game/effects.go:495.44,497.2 1 0
goldbox-rpg/pkg/game/effects.go:516.54,517.16 1 0
goldbox-rpg/pkg/game/effects.go:518.51,525.10 1 0
goldbox-rpg/pkg/game/effects.go:526.10,527.20 1 0
goldbox-rpg/pkg/game/equipment.go:29.41,41.2 1 1
goldbox-rpg/pkg/game/events.go:144.36,148.2 1 1
goldbox-rpg/pkg/game/events.go:163.77,168.2 3 1
goldbox-rpg/pkg/game/events.go:185.46,190.35 4 0
goldbox-rpg/pkg/game/events.go:190.35,192.3 1 0
goldbox-rpg/pkg/game/events.go:208.64,220.2 2 0
goldbox-rpg/pkg/game/events.go:234.33,238.2 1 0
goldbox-rpg/pkg/game/events.go:254.13,256.67 1 1
goldbox-rpg/pkg/game/events.go:256.67,262.3 3 0
goldbox-rpg/pkg/game/item.go:50.44,52.2 1 1
goldbox-rpg/pkg/game/item.go:62.40,64.2 1 1
goldbox-rpg/pkg/game/item.go:75.32,77.2 1 1
goldbox-rpg/pkg/game/item.go:84.31,86.2 1 1
goldbox-rpg/pkg/game/item.go:93.33,95.2 1 1
goldbox-rpg/pkg/game/item.go:105.39,107.2 1 1
goldbox-rpg/pkg/game/item.go:119.35,121.2 1 1
goldbox-rpg/pkg/game/item.go:129.32,131.2 1 1
goldbox-rpg/pkg/game/item.go:138.34,140.2 1 1
goldbox-rpg/pkg/game/item.go:150.39,152.2 0 1
goldbox-rpg/pkg/game/item.go:167.48,169.2 1 1
goldbox-rpg/pkg/game/item.go:180.41,182.2 1 1
goldbox-rpg/pkg/game/logger.go:23.31,25.2 1 1
goldbox-rpg/pkg/game/map.go:18.46,19.53 1 0
goldbox-rpg/pkg/game/map.go:19.53,21.3 1 0
goldbox-rpg/pkg/game/map.go:22.2,22.23 1 0
goldbox-rpg/pkg/game/map.go:25.49,34.2 2 0
goldbox-rpg/pkg/game/player.go:54.60,58.59 3 0
goldbox-rpg/pkg/game/player.go:58.59,60.3 1 0
goldbox-rpg/pkg/game/player.go:61.2,61.48 1 0
goldbox-rpg/pkg/game/player.go:61.48,63.3 1 0
goldbox-rpg/pkg/game/player.go:64.2,64.51 1 0
goldbox-rpg/pkg/game/player.go:64.51,66.3 1 0
goldbox-rpg/pkg/game/player.go:67.2,67.42 1 0
goldbox-rpg/pkg/game/player.go:67.42,69.3 1 0
goldbox-rpg/pkg/game/player.go:70.2,70.49 1 0
goldbox-rpg/pkg/game/player.go:70.49,72.3 1 0
goldbox-rpg/pkg/game/player.go:73.2,73.49 1 0
goldbox-rpg/pkg/game/player.go:73.49,75.3 1 0
goldbox-rpg/pkg/game/player.go:76.2,76.53 1 0
goldbox-rpg/pkg/game/player.go:76.53,78.3 1 0
goldbox-rpg/pkg/game/player.go:79.2,79.50 1 0
goldbox-rpg/pkg/game/player.go:79.50,81.3 1 0
goldbox-rpg/pkg/game/player.go:82.2,82.55 1 0
goldbox-rpg/pkg/game/player.go:82.55,84.3 1 0
goldbox-rpg/pkg/game/player.go:93.34,112.2 7 0
goldbox-rpg/pkg/game/player.go:120.54,129.2 1 0
goldbox-rpg/pkg/game/player.go:169.47,173.13 3 0
goldbox-rpg/pkg/game/player.go:173.13,175.3 1 0
goldbox-rpg/pkg/game/player.go:177.2,180.66 2 0
goldbox-rpg/pkg/game/player.go:180.66,182.3 1 0
goldbox-rpg/pkg/game/player.go:184.2,184.12 1 0
goldbox-rpg/pkg/game/player.go:203.46,216.2 7 0
goldbox-rpg/pkg/game/player.go:228.36,240.2 1 0
goldbox-rpg/pkg/game/tile.go:88.26,101.2 1 1
goldbox-rpg/pkg/game/tile.go:123.25,136.2 1 1
goldbox-rpg/pkg/game/utils.go:18.22,22.2 3 1
goldbox-rpg/pkg/game/utils.go:37.41,41.2 1 1
goldbox-rpg/pkg/game/utils.go:64.34,68.41 2 1
goldbox-rpg/pkg/game/utils.go:68.41,69.24 1 1
goldbox-rpg/pkg/game/utils.go:69.24,71.4 1 1
goldbox-rpg/pkg/game/utils.go:73.2,73.20 1 1
goldbox-rpg/pkg/game/utils.go:78.70,90.2 3 1
goldbox-rpg/pkg/game/world.go:23.67,27.39 3 0
goldbox-rpg/pkg/game/world.go:27.39,28.14 1 0
goldbox-rpg/pkg/game/world.go:29.18,30.56 1 0
goldbox-rpg/pkg/game/world.go:30.56,31.34 1 0
goldbox-rpg/pkg/game/world.go:31.34,35.6 3 0
goldbox-rpg/pkg/game/world.go:37.18,38.53 1 0
goldbox-rpg/pkg/game/world.go:38.53,39.37 1 0
goldbox-rpg/pkg/game/world.go:39.37,41.6 1 0
goldbox-rpg/pkg/game/world.go:43.15,44.47 1 0
goldbox-rpg/pkg/game/world.go:44.47,45.31 1 0
goldbox-rpg/pkg/game/world.go:45.31,47.6 1 0
goldbox-rpg/pkg/game/world.go:49.23,50.40 1 0
goldbox-rpg/pkg/game/world.go:50.40,52.5 1 0
goldbox-rpg/pkg/game/world.go:53.11,54.52 1 0
goldbox-rpg/pkg/game/world.go:58.2,58.12 1 0
goldbox-rpg/pkg/game/world.go:62.32,81.30 5 0
goldbox-rpg/pkg/game/world.go:81.30,83.3 1 0
goldbox-rpg/pkg/game/world.go:86.2,86.30 1 0
goldbox-rpg/pkg/game/world.go:86.30,88.3 1 0
goldbox-rpg/pkg/game/world.go:91.2,91.27 1 0
goldbox-rpg/pkg/game/world.go:91.27,93.3 1 0
goldbox-rpg/pkg/game/world.go:96.2,96.34 1 0
goldbox-rpg/pkg/game/world.go:96.34,100.3 3 0
goldbox-rpg/pkg/game/world.go:102.2,102.14 1 0
goldbox-rpg/pkg/game/world.go:132.24,139.2 1 0
goldbox-rpg/pkg/game/world.go:142.49,146.49 3 0
goldbox-rpg/pkg/game/world.go:146.49,148.3 1 0
goldbox-rpg/pkg/game/world.go:150.2,154.12 4 0
goldbox-rpg/pkg/game/world.go:158.57,163.40 4 0
goldbox-rpg/pkg/game/world.go:163.40,164.43 1 0
goldbox-rpg/pkg/game/world.go:164.43,166.4 1 0
goldbox-rpg/pkg/game/world.go:169.2,169.16 1 0
goldbox-rpg/pkg/game/world.go:173.69,175.39 1 0
goldbox-rpg/pkg/game/world.go:175.39,177.3 1 0
goldbox-rpg/pkg/game/world.go:180.2,181.38 2 0
goldbox-rpg/pkg/game/world.go:181.38,182.23 1 0
goldbox-rpg/pkg/game/world.go:182.23,184.4 1 0
goldbox-rpg/pkg/game/world.go:189.2,189.12 1 0
goldbox-rpg/pkg/game/world.go:193.59,196.2 1 0
goldbox-rpg/pkg/game/world.go:199.52,203.2 1 0
goldbox-rpg/pkg/game/world_types.go:63.56,69.2 5 1
goldbox-rpg/pkg/game/world_types.go:71.53,75.2 3 1
